PUMFID,WGHT_PER,PRV,HAP_10C,TTLINCG1,PRA_10GR,AGEGR10,predicted_probability_raw,predicted_probability,predicted_label,risk_band
7156.0,121.3564,10,2.0,4.0,,5.0,0.731206,0.731206,1,Very high
7160.0,693.8312,47,1.0,1.0,,1.0,0.15979937,0.15979937,0,Low
7162.0,88.8686,13,1.0,4.0,,4.0,0.44058454,0.44058454,0,Moderate
7165.0,113.9718,13,2.0,5.0,,4.0,0.727286,0.727286,1,Very high
7167.0,1414.3418,24,1.0,2.0,3,6.0,0.7148947,0.7148947,1,Very high
7170.0,1477.8305,35,1.0,4.0,,5.0,0.71870106,0.71870106,1,Very high
7179.0,450.1079,48,6.0,1.0,,5.0,0.8947087,0.8947087,1,Very high
7183.0,711.207,48,2.0,1.0,9,4.0,0.66971356,0.66971356,1,High
7186.0,536.7678,35,1.0,6.0,,4.0,0.8101387,0.8101387,1,Very high
7189.0,328.8088,47,1.0,7.0,,4.0,0.44989225,0.44989225,0,Moderate
7192.0,752.7217,35,6.0,1.0,,6.0,0.80276865,0.80276865,1,Very high
7195.0,1335.0542,59,1.0,2.0,,6.0,0.5905542,0.5905542,0,High
7201.0,1251.8708,24,6.0,2.0,,6.0,0.8399216,0.8399216,1,Very high
7206.0,1422.4674,24,6.0,1.0,4,6.0,0.78383994,0.78383994,1,Very high
7209.0,1007.7829,24,2.0,2.0,9,5.0,0.6406001,0.6406001,0,High
7210.0,547.9094,35,2.0,5.0,,7.0,0.84803724,0.84803724,1,Very high
7211.0,759.9549,48,1.0,2.0,8,5.0,0.41753745,0.41753745,0,Moderate
7212.0,80.5702,10,3.0,2.0,5,3.0,0.49587253,0.49587253,0,Moderate
7231.0,99.1663,10,1.0,2.0,,1.0,0.699594,0.699594,1,High
7232.0,822.2657,24,1.0,2.0,9,5.0,0.698916,0.698916,1,High
7233.0,1563.0738,35,2.0,6.0,,6.0,0.7870655,0.7870655,1,Very high
7241.0,138.5603,12,2.0,3.0,,5.0,0.8447721,0.8447721,1,Very high
7245.0,99.2484,10,2.0,1.0,,4.0,0.8599638,0.8599638,1,Very high
7246.0,257.4848,47,1.0,2.0,,6.0,0.77132905,0.77132905,1,Very high
7247.0,775.4962,35,1.0,2.0,,6.0,0.62094474,0.62094474,0,High
7251.0,1619.1343,24,1.0,1.0,,4.0,0.87463677,0.87463677,1,Very high
7252.0,96.2519,10,4.0,5.0,,5.0,0.667659,0.667659,1,High
7273.0,219.7074,48,2.0,6.0,,4.0,0.8154071,0.8154071,1,Very high
7275.0,155.7741,47,2.0,5.0,,5.0,0.77840817,0.77840817,1,Very high
7279.0,171.7342,13,3.0,2.0,3,5.0,0.9237191,0.9237191,1,Very high
7280.0,103.1726,11,2.0,4.0,,3.0,0.94056314,0.94056314,1,Very high
7281.0,1292.1831,24,1.0,5.0,,4.0,0.7862993,0.7862993,1,Very high
7282.0,766.3245,12,3.0,1.0,1,6.0,0.85358644,0.85358644,1,Very high
7283.0,120.8543,10,1.0,5.0,,4.0,0.40839174,0.40839174,0,Moderate
7284.0,227.9098,59,2.0,5.0,,5.0,0.9001859,0.9001859,1,Very high
7288.0,294.8624,59,1.0,3.0,,4.0,0.6426676,0.6426676,0,High
7294.0,1454.1283,48,6.0,6.0,,2.0,0.8748027,0.8748027,1,Very high
7296.0,853.2534,24,1.0,3.0,9,6.0,0.80718887,0.80718887,1,Very high
7299.0,1163.8328,46,2.0,1.0,,3.0,0.6725323,0.6725323,1,High
7302.0,987.9699,48,1.0,6.0,,6.0,0.6384603,0.6384603,0,High
7303.0,823.8093,47,1.0,3.0,,1.0,0.5297269,0.5297269,0,High
7306.0,1583.9144,24,1.0,2.0,,4.0,0.70750105,0.70750105,1,Very high
7310.0,207.599,12,6.0,1.0,,5.0,0.81744546,0.81744546,1,Very high
7311.0,993.3313,35,1.0,6.0,,5.0,0.69429183,0.69429183,1,High
7314.0,39.2436,10,2.0,2.0,9,7.0,0.8586143,0.8586143,1,Very high
7316.0,2119.0966,35,2.0,4.0,,5.0,0.90511173,0.90511173,1,Very high
7324.0,1341.2651,48,2.0,7.0,,3.0,0.85506594,0.85506594,1,Very high
7325.0,792.9062,59,3.0,2.0,,5.0,0.9219597,0.9219597,1,Very high
7332.0,855.1318,35,6.0,5.0,,6.0,0.8596606,0.8596606,1,Very high
7333.0,254.0275,46,1.0,6.0,,5.0,0.79838455,0.79838455,1,Very high
7334.0,473.0548,46,2.0,1.0,,4.0,0.8957019,0.8957019,1,Very high
7335.0,219.3221,13,2.0,3.0,,3.0,0.7752284,0.7752284,1,Very high
7338.0,797.8453,35,1.0,2.0,,1.0,0.27027962,0.27027962,0,Low
7340.0,2825.8347,35,3.0,1.0,,5.0,0.85849595,0.85849595,1,Very high
7342.0,891.0404,59,1.0,1.0,,5.0,0.6255805,0.6255805,0,High
7344.0,319.4808,47,1.0,4.0,,5.0,0.86696345,0.86696345,1,Very high
7346.0,181.7783,13,1.0,4.0,,5.0,0.41425306,0.41425306,0,Moderate
7347.0,159.289,13,1.0,3.0,,6.0,0.29351482,0.29351482,0,Low
7356.0,135.0741,12,1.0,5.0,9,5.0,0.8059557,0.8059557,1,Very high
7357.0,162.3394,13,1.0,4.0,9,5.0,0.71203583,0.71203583,1,Very high
7360.0,650.0774,35,3.0,2.0,,5.0,0.7501496,0.7501496,1,Very high
7362.0,500.5928,48,3.0,7.0,,5.0,0.77586406,0.77586406,1,Very high
7364.0,993.7636,35,1.0,1.0,5,5.0,0.6091243,0.6091243,0,High
7365.0,2692.17,35,2.0,4.0,,2.0,0.92954373,0.92954373,1,Very high
7366.0,209.1823,47,1.0,4.0,,3.0,0.8159134,0.8159134,1,Very high
7370.0,292.1408,10,1.0,5.0,,6.0,0.78879964,0.78879964,1,Very high
7373.0,402.877,35,1.0,5.0,,6.0,0.35552946,0.35552946,0,Moderate
7375.0,936.9483,35,1.0,6.0,,5.0,0.4371634,0.4371634,0,Moderate
7378.0,590.3167,13,1.0,1.0,,1.0,0.52400833,0.52400833,0,High
7381.0,1099.2888,35,1.0,6.0,9,5.0,0.41444102,0.41444102,0,Moderate
7389.0,356.3493,46,3.0,1.0,,5.0,0.7817578,0.7817578,1,Very high
7392.0,379.0432,46,1.0,4.0,,5.0,0.38122314,0.38122314,0,Moderate
7398.0,384.543,46,2.0,3.0,,6.0,0.77049506,0.77049506,1,Very high
7400.0,141.7878,10,5.0,1.0,,5.0,0.8130911,0.8130911,1,Very high
7401.0,1441.563,59,1.0,1.0,,6.0,0.65478027,0.65478027,1,High
7406.0,501.9324,46,1.0,4.0,,4.0,0.85124254,0.85124254,1,Very high
7413.0,4308.9882,59,5.0,1.0,,1.0,0.5311932,0.5311932,0,High
7417.0,884.9302,48,1.0,4.0,,5.0,0.7992751,0.7992751,1,Very high
7418.0,248.0823,12,6.0,4.0,,6.0,0.8686203,0.8686203,1,Very high
7420.0,118.088,46,1.0,2.0,,7.0,0.65804964,0.65804964,1,High
7424.0,470.9114,59,6.0,1.0,,6.0,0.8675939,0.8675939,1,Very high
7431.0,346.8039,59,1.0,3.0,,4.0,0.58704305,0.58704305,0,High
7434.0,850.6413,35,1.0,2.0,9,4.0,0.50094235,0.50094235,0,High
7436.0,194.9884,13,1.0,2.0,,2.0,0.32398218,0.32398218,0,Moderate
7442.0,368.0889,47,1.0,2.0,9,2.0,0.25389472,0.25389472,0,Low
7444.0,135.4532,10,1.0,4.0,,3.0,0.50397855,0.50397855,0,High
7454.0,477.3085,10,1.0,1.0,,2.0,0.7945038,0.7945038,1,Very high
7455.0,1080.0863,24,1.0,2.0,,5.0,0.60685545,0.60685545,0,High
7457.0,230.3828,48,1.0,3.0,,5.0,0.7754045,0.7754045,1,Very high
7458.0,233.8097,13,1.0,4.0,,4.0,0.7040856,0.7040856,1,Very high
7460.0,55.8208,10,6.0,1.0,,5.0,0.90312326,0.90312326,1,Very high
7464.0,2427.6144,59,1.0,1.0,,3.0,0.84491515,0.84491515,1,Very high
7471.0,1027.323,35,2.0,1.0,,5.0,0.8481198,0.8481198,1,Very high
7477.0,38.1462,13,3.0,2.0,,7.0,0.8678969,0.8678969,1,Very high
7484.0,522.3315,24,1.0,7.0,9,6.0,0.5921023,0.5921023,0,High
7485.0,163.3055,13,1.0,4.0,,4.0,0.4171026,0.4171026,0,Moderate
7487.0,356.3398,46,1.0,3.0,,6.0,0.7235182,0.7235182,1,Very high
7491.0,3595.5648,35,1.0,3.0,,3.0,0.74746245,0.74746245,1,Very high
7500.0,375.9068,47,1.0,7.0,,2.0,0.32812968,0.32812968,0,Moderate
7502.0,1818.9747,24,1.0,2.0,,5.0,0.63262993,0.63262993,0,High
7503.0,515.3434,35,1.0,2.0,,4.0,0.53939193,0.53939193,0,High
7506.0,46.3957,11,1.0,2.0,,6.0,0.34768885,0.34768885,0,Moderate
7507.0,343.0861,59,1.0,6.0,,6.0,0.8952567,0.8952567,1,Very high
7516.0,1781.1381,48,3.0,3.0,,2.0,0.77785873,0.77785873,1,Very high
7528.0,209.6383,13,1.0,2.0,,2.0,0.6054312,0.6054312,0,High
7541.0,1330.6532,24,4.0,3.0,,5.0,0.8105764,0.8105764,1,Very high
7542.0,1322.0492,48,1.0,4.0,,3.0,0.3716348,0.3716348,0,Moderate
7545.0,307.769,10,1.0,1.0,,5.0,0.40160102,0.40160102,0,Moderate
